uv,ocr,search,sellingpoint,payment,material,placement
998.0312,0.0109,0.0012,Spend & Save,roi,swf,uncertained
243.5577,0.0137,0.0014,Price Drop,cpd,jpg,sub-banner
846.0155,0.0043,0.0006,Discount,cpm,swf,tips
4.5692,0.0313,0.0,Price Drop,cpc,gif,sub-banner
211.541,0.1812,0.0103,Spend & Save,cpc,jpg,banner
4.7084,0.0604,0.0,Price Drop,cpc,gif,sub-banner
488.2688,0.1545,0.0069,Spend & Save,cpc,jpg,banner
409.4046,0.0264,0.0044,Flash Sale,roi,jpg,uncertained
404.8384,0.0306,0.0052,Flash Sale,roi,jpg,uncertained
846.1127,0.0025,0.0004,Discount,cpm,swf,tips
20.8133,0.0099,0.0042,Flash Sale,roi,jpg,uncertained
5.4112,0.2077,0.0,Price Drop,cpc,gif,sub-banner
7.1356,0.1638,0.0116,Gift with Purchase,cpc,jpg,banner
838.3539,0.0009,0.0011,Discount,cpm,swf,tips
56.0209,0.0217,0.004,Discount,cpd,swf,uncertained
59.2127,0.0597,0.0033,Discount,cpd,swf,uncertained
274.1882,0.004,0.0004,Price Drop,roi,swf,uncertained
5.3703,0.1991,0.0,Price Drop,cpc,gif,sub-banner
17.4116,0.19,0.0115,Cash/Coupon-Back,cpc,jpg,sub-banner
0.9461,0.0095,0.0001,Discount,cpm,swf,tips
244.1557,0.01,0.0013,Spend & Save,cpd,jpg,sub-banner
31.5872,0.043,0.0018,Spend & Save,cpc,jpg,banner
260.8798,0.0107,0.001,Discount,roi,swf,uncertained
52.688,0.0022,0.0012,Flash Sale,roi,jpg,tips
57.5102,0.0545,0.0063,Price Drop,cpm,swf,tips
12.6851,0.1628,0.0016,Spend & Save,cpc,jpg,banner
977.2188,0.01,0.0016,Discount,roi,swf,uncertained
274.8598,0.0077,0.0007,Price Drop,roi,swf,uncertained
87.1188,0.1484,0.0058,Price Drop,cpd,jpg,sub-banner
87.1889,0.2096,0.0111,Price Drop,cpc,jpg,banner
574.4708,0.0011,0.0016,Gift with Purchase,roi,swf,uncertained
4.8623,0.0927,0.0,Price Drop,cpc,gif,sub-banner
2.5669,0.0849,0.0067,Gift with Purchase,cpc,jpg,banner
